Allel	Frequenz		
7 	0.003 	
9 	0.000 	
10 	0.010 	
11 	0.298 	
12 	0.276 	
13 	0.080 	
14 	0.061 	
15 	0.006 	
16 	0.003 	
17 	0.051 	
18 	0.090 	
19 	0.090 	
19.3 	0.000 	
20 	0.029 	
20.3 	0.000 	
21 	0.003 	
21.3 	0.000 	
22 	0.000 	
22.3 	0.000 	
23 	0.000 	
23.3 	0.000 	
24 	0.000 	
25 	0.000
