Allel	Frequenz		
2.2	0.000417362
6	0.000834725
7	0.00417362
8	0.0158598
9	0.208264
10	0.102254
11	0.148998
12	0.225793
13	0.201169
14	0.0751252
15	0.015025
16	0.00208681
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
